Rating	PD_min	PD_max	PD_gave	PD_mth
A1	0,00000	0,00330	0,00160	0,00010
A2	0,00330	0,00600	0,00460	0,00040
A3	0,00600	0,01120	0,00860	0,00070
B1	0,01120	0,02110	0,01610	0,00130
B2	0,02110	0,03810	0,02960	0,00240
B3	0,03810	0,06450	0,05120	0,00420
C1	0,06450	0,09820	0,08120	0,00650
C2	0,09820	0,14450	0,12110	0,00960
C3	0,14450	0,20230	0,17300	0,01340
D1	0,20230	0,25800	0,22980	0,01740
D2	0,25800	0,31600	0,28670	0,02120
D3	0,31600	0,39790	0,35630	0,02570
E1	0,39790	0,51040	0,45310	0,03160
E2	0,51040	0,67020	0,58830	0,03930
E3	0,67020	1,00000	0,82770	0,05950
X	1,00000	1,00000	1,00000	0,05950
X1	1,00000	1,00000	1,00000	0,05950
X2	1,00000	1,00000	1,00000	0,05950
X3	1,00000	1,00000	1,00000	0,05950
X4	1,00000	1,00000	1,00000	0,05950
X5	1,00000	1,00000	1,00000	0,05950
X6	1,00000	1,00000	1,00000	0,05950
